기간,구분,신체,정서,성,방임,신체와 정서,신체와 성,신체와 방임,정서와 성,정서와 방임,성과 방임,신체와 정서와 성,신체와 정서와 방임,신체와 성과 방임,정서와 성과 방임,신체와 정서와 성과 방임
2018,중앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,서울,488,578,42,203,783,3,20,3,56,0,6,27,0,0,1
2018,부산,264,385,108,149,540,5,19,50,53,0,13,26,0,0,0
2018,대구,126,378,30,82,473,3,9,6,18,0,6,37,0,0,0
2018,인천,222,257,13,130,442,1,17,11,50,0,5,19,0,0,0
2018,광주,156,205,17,187,336,4,9,4,19,0,12,13,0,0,0
2018,대전,24,141,9,106,294,0,3,9,39,0,5,13,0,0,0
2018,울산,53,153,15,70,364,1,8,5,14,0,6,45,0,0,0
2018,경기,1043,1303,244,573,2435,16,51,79,134,0,37,155,0,2,4
2018,강원,190,258,61,88,470,6,15,8,51,1,21,49,0,1,0
2018,충북,118,158,43,164,239,6,14,2,55,0,17,28,1,0,1
2018,충남,155,440,36,157,427,2,14,7,33,0,3,47,0,0,0
2018,전북,127,336,30,202,605,2,39,3,103,0,15,115,0,0,3
2018,전남,137,418,163,234,591,10,15,40,47,0,21,46,0,0,1
2018,경북,186,544,44,146,595,2,10,192,62,0,12,29,0,0,0
2018,경남,103,228,39,88,559,2,9,2,43,0,14,30,0,0,1
2018,제주,14,70,15,25,201,0,0,0,1,0,6,3,0,0,0
2018,세종시,30,10,1,0,22,0,2,1,1,0,0,1,0,0,0
